关卡牌局代码,地形编号,开始次数,净过关次数,净胜率(%),ReplayCode,模拟胜利,模拟失败,模拟胜率(%),模拟平均步数,耗时ms,地形总牌数
8-4-2-12-256858201,200012,23244,14004,60.25,BcFBEYAwDATAu+TSpOWLAFQgrD5QwAweUIAJnGCAXe3L+p7z2L4HpDmpaE5Eg5lSFV0kHQYfNKopxyi3XoSzJ677Bw==,197,3,98.50,54.0,145,54
9-9-5-14-476160617,200007,23023,5149,22.36,Y7Hkqw061fxM0+woAyMTAzMLCxMzKwsbAwsTGzsHKws7JydQiJmLm4eJgYOXByjBwMXIw8vBwszNzczEy8XOyMrJxOBcBgA=,29,171,14.50,57.0,132,57
3-6-3-11-368073261,100010,22895,16593,72.47,DcaxDYAwDARAf/4d22EHxkBiEHp2oUJiEmrWQ4KrTsu0r9fx3NtpaBRdPUQiCygKwlAlwrL/bRwu0JMtqZ4W9s4f,193,7,96.50,54.0,181,54
4-9-6-8-234806128,100009,22656,21481,94.81,Y9Hi2H4++ryoVGg2AyMjEwMTAzMzC5ABxKxsTMysTEysrMxMrOxM7Cws7CzMzGxsLKxMDBz/AQ==,200,0,100.00,42.0,133,42
3-7-9-9-25160818,200003,22456,18220,81.14,Y9HiMDo2L70p+KILAyMTExMjIzMLAysrGzsTKzs7GzsbE5DNyMjCysYMFGNnZWRmZWBhYrg5BwA=,199,1,99.50,42.0,122,42
9-2-8-9-964359838,100040,22352,18900,84.56,YzHguOdi6v+6dHMsAyMDIxMTAzMLKxsjOxMjEysLCxMjiGBiZwWKM7CysLIzM7AxMALVMQMpBulWAA==,199,1,99.50,48.0,427,48
9-5-1-13-2008390322,200015,22178,13994,63.1,DcqxDYBADAPAxLE/CYsgIdFSUjMMBcMwGi27wNXHbZqP+7n2dTEHgiHZyBJcpMRoVzNchvyHaQSqgjkAt4a95wc=,189,11,94.50,54.0,269,54
3-8-9-12-1455592508,200004,20968,9977,47.58,YzHguqfKK9zbfJOPgZGJmZmZhZWNjY2dgR3E5mBn42RmYefgZGNjZWPkYGJg4+BgZgYKsnAwsrMytM8HAA==,168,32,84.00,48.0,123,48
8-1-7-10-1616385220,200012,12357,8767,70.95,DcpBFYBADAPRpEm3CEAAKhDGFQ0oWC9gAicYoJc5zPvel/Wdx7V9D8AgQk7K5igMCSl3eqlII+wMuGG1ZA6c9w8=,193,7,96.50,54.0,217,54
2-5-1-10-1447252652,100002,12172,10863,89.25,Y1HntDrKMfF9W+RuBkYmZhYWVkZGNgZWdg5mZiBiZ2JmYGFjZGRlYGBjYGRmYgeKMnALAQA=,200,0,100.00,39.0,71,39
2-5-6-13-1948683737,100010,11982,9100,75.95,YzHjSbDsad6yKrSTgZGJmYWZmZGVhZGNnZmDnYMTSIBIdjYuFlZGBm52LiY2bg5mDg4OZmYubiZGDk4GRlaGU5YA,200,0,100.00,54.0,141,54
7-5-8-9-1207295261,100009,11924,8318,69.76,Y9Hi3H4++ryoVGg2AwMDIwMjIxMzkGRhZWVgY2ZkZ2ZiZ+NgZ+JgZmZhYmJjYeJgZQYChgotAA==,189,11,94.50,42.0,80,42
