关卡牌局代码,地形编号,开始次数,净过关次数,在线胜率(%),模拟胜率(%),差值(sim-online),绝对差值,模拟胜利,模拟失败,模拟平均步数,耗时ms,地形总牌数
5-6-9-11-257378066,100031,697,577,82.78,99.50,16.72,16.72,199,1,60.0,194,60
1-7-9-15-1242990162,100075,697,442,63.41,94.00,30.59,30.59,188,12,84.0,5041,84
6-7-5-17-1440882305,200053,697,451,64.71,98.00,33.29,33.29,196,4,72.0,250,72
1-6-2-25-2052069319,100061,693,160,23.09,87.00,63.91,63.91,174,26,102.0,749,102
7-2-3-19-294045294,100079,693,395,57.00,92.50,35.50,35.50,185,15,75.0,353,75
9-5-7-18-649370082,100083,692,549,79.34,95.00,15.66,15.66,190,10,90.0,723,90
7-6-6-18-1746958685,100069,691,324,46.89,66.50,19.61,19.61,133,67,114.0,1085,114
7-9-6-21-809519560,100065,690,205,29.71,28.50,-1.21,1.21,57,143,108.0,1118,108
5-4-9-12-449110263,200004,688,318,46.22,96.50,50.28,50.28,193,7,48.0,128,48
1-7-2-19-166564506,100078,687,534,77.73,78.50,0.77,0.77,157,43,81.0,982,81
1-3-5-11-266963058,100010,684,463,67.69,100.00,32.31,32.31,200,0,54.0,280,54
2-8-3-18-586888866,100036,684,323,47.22,92.00,44.78,44.78,184,16,90.0,589,90
9-1-6-17-1015877068,100048,683,411,60.18,82.00,21.82,21.82,164,36,66.0,588,66
6-4-3-14-1983003385,100087,682,305,44.72,91.50,46.78,46.78,183,17,102.0,1602,102
9-6-3-23-1208342243,100064,680,227,33.38,33.50,0.12,0.12,67,133,126.0,1361,126
6-1-1-20-551513154,100060,679,501,73.79,91.00,17.21,17.21,182,18,84.0,501,84
3-3-1-17-1607881211,100092,679,527,77.61,90.50,12.89,12.89,181,19,75.0,187,75
3-6-4-14-2129530563,100037,675,122,18.07,52.50,34.43,34.43,105,95,66.0,268,66
6-2-3-19-944802794,100086,675,385,57.04,93.00,35.96,35.96,186,14,117.0,1810,117
6-4-1-14-2075301092,100033,674,492,73.00,96.00,23.00,23.00,192,8,60.0,263,60
