关卡牌局代码,地形编号,开始次数,净过关次数,在线胜率(%),模拟胜率(%),差值(sim-online),绝对差值,模拟胜利,模拟失败,模拟平均步数,耗时ms,地形总牌数
8-8-4-15-30243800,100048,405,171,42.22,90.00,47.78,47.78,180,20,66.0,390,66
8-7-1-8-424754617,100056,405,233,57.53,78.50,20.97,20.97,157,43,54.0,711,54
6-5-8-8-1518137820,200003,404,238,58.91,100.00,41.09,41.09,200,0,42.0,111,42
8-6-3-17-582202754,100069,403,76,18.86,68.50,49.64,49.64,137,63,114.0,1778,114
6-7-7-18-255475006,400013,403,166,41.19,86.00,44.81,44.81,172,28,108.0,3597,108
1-5-4-18-1714485793,100058,403,258,64.02,100.00,35.98,35.98,200,0,84.0,1554,84
4-9-9-17-1835735653,100034,402,224,55.72,97.50,41.78,41.78,195,5,72.0,292,72
2-9-7-17-674929454,100036,402,262,65.17,95.00,29.83,29.83,190,10,90.0,854,90
5-1-2-16-1256155741,100085,402,153,38.06,88.00,49.94,49.94,176,24,84.0,703,84
6-6-3-16-1151609582,100094,401,174,43.39,93.50,50.11,50.11,187,13,99.0,761,99
5-1-9-12-310812739,100074,401,378,94.26,100.00,5.74,5.74,200,0,54.0,232,54
5-3-3-17-815442408,100016,401,246,61.35,84.00,22.65,22.65,168,32,66.0,176,66
5-6-1-8-36630144,100014,401,312,77.81,97.50,19.69,19.69,195,5,54.0,315,54
1-5-1-11-2096569179,200004,401,325,81.05,100.00,18.95,18.95,200,0,48.0,239,48
5-2-2-15-648839995,100007,400,243,60.75,99.50,38.75,38.75,199,1,69.0,435,69
8-6-4-21-868940903,100064,398,95,23.87,70.00,46.13,46.13,140,60,126.0,1310,126
9-7-3-15-137471756,100057,397,266,67.00,94.00,27.00,27.00,188,12,72.0,642,72
6-6-7-11-363826549,100059,397,153,38.54,76.50,37.96,37.96,153,47,81.0,602,81
9-9-6-17-573681485,100036,397,102,25.69,69.00,43.31,43.31,138,62,90.0,455,90
7-3-3-12-894346921,200024,396,248,62.63,96.50,33.87,33.87,193,7,72.0,234,72
8-3-7-10-1948372964,100030,395,275,69.62,100.00,30.38,30.38,200,0,66.0,316,66
8-5-9-13-35025787,100081,395,190,48.10,64.00,15.90,15.90,128,72,72.0,737,72
9-5-7-18-211767935,100083,395,181,45.82,27.50,-18.32,18.32,55,145,90.0,595,90
2-3-2-13-1955145120,100055,395,193,48.86,93.00,44.14,44.14,186,14,84.0,784,84
5-9-5-13-1281020521,100094,395,214,54.18,90.50,36.32,36.32,181,19,99.0,981,99
7-1-8-19-206812101,100078,394,148,37.56,53.50,15.94,15.94,107,93,81.0,827,81
3-1-4-13-571547600,100028,394,285,72.34,98.00,25.66,25.66,196,4,54.0,304,54
8-3-6-12-631393539,100026,394,243,61.68,99.50,37.82,37.82,199,1,54.0,157,54
3-9-9-14-768327070,100028,394,287,72.84,100.00,27.16,27.16,200,0,54.0,170,54
9-9-1-22-337693034,400014,394,200,50.76,73.50,22.74,22.74,147,53,108.0,3475,108
8-6-7-15-1903452195,100046,394,293,74.37,90.50,16.13,16.13,181,19,57.0,110,57
3-8-6-14-1461585732,400015,394,322,81.73,99.00,17.27,17.27,198,2,90.0,784,90
9-2-4-22-1675091512,100086,393,91,23.16,35.00,11.84,11.84,70,130,117.0,3197,117
7-7-4-10-948620489,200024,393,196,49.87,78.00,28.13,28.13,156,44,72.0,305,72
1-2-5-14-692635578,100031,393,321,81.68,100.00,18.32,18.32,200,0,60.0,207,60
5-2-2-21-272132929,100086,392,242,61.73,99.50,37.77,37.77,199,1,117.0,2823,117
8-5-3-18-379350782,100092,392,330,84.18,100.00,15.82,15.82,200,0,75.0,180,75
6-9-1-23-360764350,400012,391,147,37.60,79.50,41.90,41.90,159,41,108.0,1030,108
8-6-3-18-1251529021,100065,389,124,31.88,88.50,56.62,56.62,177,23,108.0,1072,108
6-9-7-17-575864526,100095,389,174,44.73,86.00,41.27,41.27,172,28,90.0,444,90
8-9-8-13-189417337,100072,389,221,56.81,96.50,39.69,39.69,193,7,63.0,282,63
8-5-5-15-218143229,100083,389,185,47.56,92.00,44.44,44.44,184,16,90.0,548,90
1-9-6-17-1986537133,100060,388,258,66.49,98.00,31.51,31.51,196,4,84.0,595,84
8-9-8-14-1120911656,100031,387,290,74.94,98.50,23.56,23.56,197,3,60.0,161,60
1-7-8-25-105968931,100063,387,154,39.79,93.50,53.71,53.71,187,13,99.0,893,99
7-4-9-16-314847169,100087,386,58,15.03,60.00,44.97,44.97,120,80,102.0,1233,102
6-1-9-10-506524915,100072,386,294,76.17,99.50,23.33,23.33,199,1,63.0,558,63
8-6-5-13-1598304566,100076,386,191,49.48,60.00,10.52,10.52,120,80,90.0,621,90
5-3-1-16-1315975034,100076,385,194,50.39,91.50,41.11,41.11,183,17,90.0,780,90
2-6-7-14-1226952914,100005,385,306,79.48,100.00,20.52,20.52,200,0,66.0,225,66
8-8-6-13-1178483373,100030,385,236,61.30,86.50,25.20,25.20,173,27,66.0,197,66
8-3-3-13-2125672116,100034,385,59,15.32,90.50,75.18,75.18,181,19,72.0,220,72
8-2-8-20-227107240,100097,385,222,57.66,100.00,42.34,42.34,200,0,84.0,408,84
5-8-8-10-1956769591,100037,385,127,32.99,93.50,60.51,60.51,187,13,66.0,321,66
8-2-4-17-1961266617,100079,385,198,51.43,63.00,11.57,11.57,126,74,75.0,304,75
8-5-2-14-324400848,100055,384,248,64.58,91.00,26.42,26.42,182,18,84.0,554,84
9-5-9-21-801754513,100097,384,108,28.13,16.50,-11.63,11.63,33,167,84.0,273,84
5-8-9-12-1570739582,100038,384,282,73.44,100.00,26.56,26.56,200,0,54.0,128,54
4-4-3-19-747952235,100063,384,130,33.85,37.00,3.15,3.15,74,126,99.0,852,99
7-7-2-17-1445757522,100084,383,88,22.98,46.00,23.02,23.02,92,108,102.0,3476,102
3-9-9-16-1271865494,100013,383,247,64.49,89.00,24.51,24.51,178,22,72.0,316,72
5-2-7-13-1079500226,100050,383,195,50.91,97.00,46.09,46.09,194,6,78.0,1139,78
6-7-6-15-379926431,100058,383,174,45.43,85.50,40.07,40.07,171,29,84.0,935,84
7-1-3-20-1392083722,100095,382,272,71.20,96.50,25.30,25.30,193,7,90.0,670,90
3-9-7-8-125568920,100009,382,211,55.24,100.00,44.76,44.76,200,0,42.0,119,42
2-1-1-11-1795143098,100088,382,255,66.75,99.50,32.75,32.75,199,1,72.0,1989,72
9-5-1-13-1849290676,200015,381,184,48.29,74.00,25.71,25.71,148,52,54.0,273,54
2-2-7-13-2015419608,100056,381,313,82.15,98.50,16.35,16.35,197,3,54.0,396,54
7-9-1-14-1182868515,100079,381,227,59.58,99.50,39.92,39.92,199,1,75.0,941,75
8-5-4-13-160560200,200013,381,228,59.84,90.00,30.16,30.16,180,20,63.0,180,63
8-3-7-16-1301033270,100057,381,189,49.61,54.00,4.39,4.39,108,92,72.0,555,72
8-7-9-21-577603989,100089,379,212,55.94,78.50,22.56,22.56,157,43,114.0,1170,114
4-2-2-11-1176758919,200015,379,265,69.92,91.50,21.58,21.58,183,17,54.0,225,54
7-3-4-14-988228616,100093,378,113,29.89,44.00,14.11,14.11,88,112,96.0,17288,96
8-8-4-15-1627848957,100048,378,269,71.16,94.50,23.34,23.34,189,11,66.0,439,66
3-9-8-14-1228365397,200007,377,45,11.94,56.00,44.06,44.06,112,88,57.0,145,57
5-2-9-15-1270956064,100016,377,263,69.76,99.00,29.24,29.24,198,2,66.0,320,66
2-5-5-13-786541764,100020,376,192,51.06,89.50,38.44,38.44,179,21,66.0,247,66
1-2-7-12-201030718,200015,375,110,29.33,93.00,63.67,63.67,186,14,54.0,352,54
4-1-2-17-1734448522,100043,375,275,73.33,100.00,26.67,26.67,200,0,78.0,674,78
8-5-2-18-1936776934,100096,374,168,44.92,92.00,47.08,47.08,184,16,96.0,1943,96
9-3-9-10-655546649,100023,374,272,72.73,87.00,14.27,14.27,174,26,54.0,216,54
8-6-3-15-398307767,100020,373,227,60.86,95.50,34.64,34.64,191,9,66.0,137,66
9-4-2-11-1160036539,100009,373,213,57.10,98.00,40.90,40.90,196,4,42.0,80,42
3-1-4-23-1720570151,400011,372,147,39.52,71.00,31.48,31.48,142,58,90.0,860,90
7-7-6-11-1381381085,100047,372,131,35.22,58.50,23.28,23.28,117,83,72.0,1008,72
5-8-6-11-2106507593,100041,372,236,63.44,83.50,20.06,20.06,167,33,72.0,305,72
1-5-8-17-1129978928,400015,372,182,48.92,81.00,32.08,32.08,162,38,90.0,921,90
1-6-2-25-557547251,100061,371,227,61.19,87.00,25.81,25.81,174,26,102.0,868,102
3-9-1-12-1979992826,100074,371,311,83.83,100.00,16.17,16.17,200,0,54.0,247,54
7-3-1-18-861764476,100007,370,129,34.86,62.00,27.14,27.14,124,76,69.0,248,69
7-4-1-15-870422151,100090,370,224,60.54,98.00,37.46,37.46,196,4,81.0,921,81
9-3-1-12-1482812358,100023,370,243,65.68,93.00,27.32,27.32,186,14,54.0,266,54
8-8-1-17-492802249,100075,369,281,76.15,93.00,16.85,16.85,186,14,84.0,3071,84
4-6-7-20-1656133456,400017,369,262,71.00,94.50,23.50,23.50,189,11,117.0,923,117
9-1-4-14-1886100766,100014,369,283,76.69,100.00,23.31,23.31,200,0,54.0,162,54
6-4-6-14-82999278,200053,369,264,71.54,100.00,28.46,28.46,200,0,72.0,346,72
9-9-4-15-1732106655,200007,369,86,23.31,85.50,62.19,62.19,171,29,57.0,440,57
8-3-7-17-693588558,100050,369,210,56.91,96.00,39.09,39.09,192,8,78.0,860,78
9-5-4-15-1700442060,100004,368,212,57.61,74.50,16.89,16.89,149,51,60.0,159,60
7-4-4-24-538672469,100065,368,132,35.87,74.50,38.63,38.63,149,51,108.0,1078,108
6-1-1-20-1734042216,100060,367,283,77.11,98.50,21.39,21.39,197,3,84.0,484,84
2-7-8-19-2027730459,100013,367,282,76.84,99.50,22.66,22.66,199,1,72.0,277,72
4-4-3-16-1278520265,100037,367,316,86.10,90.50,4.40,4.40,181,19,66.0,220,66
3-3-9-12-911021224,100038,366,148,40.44,59.00,18.56,18.56,118,82,54.0,112,54
4-4-4-13-2057398036,200010,366,203,55.46,95.50,40.04,40.04,191,9,57.0,179,57
4-8-8-14-1790054387,200012,365,201,55.07,100.00,44.93,44.93,200,0,54.0,122,54
5-4-2-21-1004160245,400012,364,190,52.20,96.50,44.30,44.30,193,7,108.0,1081,108
8-4-4-18-1875781577,400017,363,146,40.22,82.50,42.28,42.28,165,35,117.0,679,117
1-5-3-16-70180995,100080,363,219,60.33,81.00,20.67,20.67,162,38,69.0,785,69
1-5-3-16-1523520461,100080,362,254,70.17,97.00,26.83,26.83,194,6,69.0,1017,69
7-9-8-21-327000585,400011,362,179,49.45,91.00,41.55,41.55,182,18,90.0,429,90
6-6-4-17-1173514727,100061,362,148,40.88,91.50,50.62,50.62,183,17,102.0,722,102
8-8-3-11-1311554159,100081,360,294,81.67,100.00,18.33,18.33,200,0,72.0,986,72
7-6-8-13-1642855039,200013,360,319,88.61,100.00,11.39,11.39,200,0,63.0,229,63
8-9-2-14-2100026606,100033,359,228,63.51,84.50,20.99,20.99,169,31,60.0,322,60
8-4-4-11-196128384,100047,358,214,59.78,99.00,39.22,39.22,198,2,72.0,1044,72
3-7-2-21-1901610678,400013,358,145,40.50,91.50,51.00,51.00,183,17,108.0,3018,108
6-7-4-16-1594508494,100092,357,238,66.67,89.00,22.33,22.33,178,22,75.0,233,75
4-7-8-8-1908544929,100040,356,204,57.30,90.00,32.70,32.70,180,20,48.0,353,48
9-9-1-18-1182825082,100071,356,283,79.49,94.50,15.01,15.01,189,11,72.0,567,72
9-3-4-19-1837840585,100078,355,153,43.10,54.00,10.90,10.90,108,92,81.0,712,81
6-5-3-13-1593206140,100046,351,248,70.66,100.00,29.34,29.34,200,0,57.0,153,57
9-7-2-10-1640169434,100033,348,314,90.23,100.00,9.77,9.77,200,0,60.0,361,60
7-7-3-10-1360408560,200015,338,170,50.30,100.00,49.70,49.70,200,0,54.0,287,54
3-3-1-18-817642914,100051,336,72,21.43,81.50,60.07,60.07,163,37,105.0,1177,105
6-9-4-10-827911592,100002,334,206,61.68,100.00,38.32,38.32,200,0,39.0,51,39
8-6-4-14-1974112391,200010,332,54,16.27,33.50,17.23,17.23,67,133,57.0,110,57
3-9-3-12-811657363,100026,330,83,25.15,98.00,72.85,72.85,196,4,54.0,166,54
1-5-3-17-1256484989,100066,329,153,46.50,98.50,52.00,52.00,197,3,93.0,2472,93
9-2-8-9-156407050,100040,327,163,49.85,91.00,41.15,41.15,182,18,48.0,452,48
2-8-3-8-426642826,100008,326,149,45.71,89.50,43.79,43.79,179,21,42.0,115,42
5-2-8-15-1660305194,200007,325,110,33.85,99.00,65.15,65.15,198,2,57.0,156,57
9-4-1-13-765816104,100093,320,102,31.88,79.50,47.62,47.62,159,41,96.0,22523,96
5-4-9-12-448116689,200004,320,145,45.31,99.50,54.19,54.19,199,1,48.0,173,48
8-3-7-10-315447893,100030,319,262,82.13,100.00,17.87,17.87,200,0,66.0,270,66
4-9-9-17-1383471717,100034,319,212,66.46,97.00,30.54,30.54,194,6,72.0,220,72
7-8-8-10-1513443324,100041,318,181,56.92,99.50,42.58,42.58,199,1,72.0,432,72
5-2-4-21-1823656960,100070,315,116,36.83,95.50,58.67,58.67,191,9,117.0,2455,117
9-1-7-7-299508665,100040,315,204,64.76,99.50,34.74,34.74,199,1,48.0,565,48
1-5-4-18-2064412246,100058,314,150,47.77,100.00,52.23,52.23,200,0,84.0,1675,84
2-8-6-9-912672448,100008,314,207,65.92,99.00,33.08,33.08,198,2,42.0,114,42
2-7-7-12-1477662044,200015,314,155,49.36,100.00,50.64,50.64,200,0,54.0,340,54
9-2-6-18-1185535035,100096,311,140,45.02,80.50,35.48,35.48,161,39,96.0,3028,96
8-4-4-18-1461701647,400017,310,64,20.65,81.00,60.35,60.35,162,38,117.0,746,117
1-4-3-13-888574707,100031,309,269,87.06,100.00,12.94,12.94,200,0,60.0,202,60
1-9-9-14-532583005,100016,309,270,87.38,100.00,12.62,12.62,200,0,66.0,413,66
9-6-2-15-1518410139,100004,308,146,47.40,95.00,47.60,47.60,190,10,60.0,254,60
3-1-8-11-1274223812,200003,307,174,56.68,100.00,43.32,43.32,200,0,42.0,102,42
5-8-8-13-1773253281,100010,307,112,36.48,100.00,63.52,63.52,200,0,54.0,137,54
3-7-2-21-1871384367,400013,306,123,40.20,80.00,39.80,39.80,160,40,108.0,3254,108
6-2-3-14-1748670222,100096,305,77,25.25,73.50,48.25,48.25,147,53,96.0,1858,96
9-6-9-10-235299825,100010,304,168,55.26,100.00,44.74,44.74,200,0,54.0,251,54
3-9-3-12-1747091460,100026,303,77,25.41,94.50,69.09,69.09,189,11,54.0,147,54
7-3-6-11-172987200,100059,303,227,74.92,100.00,25.08,25.08,200,0,81.0,598,81
9-9-1-18-1996319989,100071,302,218,72.19,100.00,27.81,27.81,200,0,72.0,542,72
7-1-3-20-1843734404,100095,302,191,63.25,100.00,36.75,36.75,200,0,90.0,541,90
5-5-5-8-1901959424,100037,301,250,83.06,100.00,16.94,16.94,200,0,66.0,477,66
5-2-3-25-413856214,100061,300,105,35.00,95.00,60.00,60.00,190,10,102.0,822,102
6-6-1-25-494596814,100052,300,27,9.00,15.00,6.00,6.00,30,170,120.0,591,120
4-9-9-15-885250334,100041,300,139,46.33,98.00,51.67,51.67,196,4,72.0,478,72
6-8-1-17-318251576,100005,299,145,48.50,96.50,48.00,48.00,193,7,66.0,189,66
3-1-4-23-1355467127,400011,294,152,51.70,99.50,47.80,47.80,199,1,90.0,631,90
3-9-1-12-165322765,100074,294,232,78.91,100.00,21.09,21.09,200,0,54.0,253,54
2-8-9-13-1990921097,100021,294,77,26.19,99.50,73.31,73.31,199,1,72.0,478,72
1-4-2-22-960618345,100070,294,94,31.97,91.50,59.53,59.53,183,17,117.0,1876,117
6-5-3-7-1790580027,100009,294,147,50.00,94.50,44.50,44.50,189,11,42.0,129,42
2-7-8-19-967462966,100013,293,205,69.97,100.00,30.03,30.03,200,0,72.0,279,72
6-9-1-23-101896711,400012,293,146,49.83,99.50,49.67,49.67,199,1,108.0,2698,108
9-8-4-10-56396311,100040,293,154,52.56,75.00,22.44,22.44,150,50,48.0,363,48
8-6-5-13-725098318,100076,293,150,51.19,99.50,48.31,48.31,199,1,90.0,950,90
9-4-2-11-1864626278,100009,292,168,57.53,100.00,42.47,42.47,200,0,42.0,112,42
8-8-3-11-1924611316,100008,291,126,43.30,99.00,55.70,55.70,198,2,42.0,102,42
7-5-5-18-302008891,100092,290,257,88.62,100.00,11.38,11.38,200,0,75.0,215,75
1-7-6-10-206562118,100028,290,231,79.66,100.00,20.34,20.34,200,0,54.0,470,54
6-1-1-20-481180970,100060,289,198,68.51,100.00,31.49,31.49,200,0,84.0,714,84
9-2-8-21-358694358,400013,289,217,75.09,99.50,24.41,24.41,199,1,108.0,5905,108
6-3-6-9-2147244796,100002,289,210,72.66,100.00,27.34,27.34,200,0,39.0,73,39
7-4-2-16-1801298467,100069,288,80,27.78,99.00,71.22,71.22,198,2,114.0,2962,114
1-7-7-18-1726653492,100085,288,203,70.49,98.50,28.01,28.01,197,3,84.0,707,84
8-9-1-21-339683921,100051,288,19,6.60,19.50,12.90,12.90,39,161,105.0,1071,105
6-6-2-14-138933210,100047,288,130,45.14,90.50,45.36,45.36,181,19,72.0,1097,72
8-6-5-12-96615492,100067,287,145,50.52,98.00,47.48,47.48,196,4,90.0,1563,90
7-9-2-21-1491880058,100065,287,42,14.63,50.00,35.37,35.37,100,100,108.0,1472,108
5-1-2-13-656134589,100023,287,228,79.44,100.00,20.56,20.56,200,0,54.0,190,54
5-1-7-8-645568283,100014,286,261,91.26,100.00,8.74,8.74,200,0,54.0,389,54
9-9-1-22-641742904,400014,286,77,26.92,74.50,47.58,47.58,149,51,108.0,3963,108
7-6-2-12-1942319350,100088,285,194,68.07,97.00,28.93,28.93,194,6,72.0,1408,72
3-6-9-13-211820348,100010,285,89,31.23,94.00,62.77,62.77,188,12,54.0,166,54
3-5-4-9-690276622,100008,285,182,63.86,100.00,36.14,36.14,200,0,42.0,118,42
7-5-2-23-1886999071,100064,285,22,7.72,35.00,27.28,27.28,70,130,126.0,3629,126
8-4-2-22-1389773929,100064,284,50,17.61,87.00,69.39,69.39,174,26,126.0,1758,126
7-3-7-12-1807549890,200010,284,227,79.93,100.00,20.07,20.07,200,0,57.0,273,57
2-3-2-12-1220630125,100038,283,245,86.57,100.00,13.43,13.43,200,0,54.0,140,54
9-6-4-11-1401476982,100026,283,137,48.41,100.00,51.59,51.59,200,0,54.0,191,54
1-5-4-16-93568097,100083,283,158,55.83,96.00,40.17,40.17,192,8,90.0,1160,90
1-5-2-25-918217636,100063,283,72,25.44,89.50,64.06,64.06,179,21,99.0,1279,99
3-8-6-14-962059330,400015,283,204,72.08,100.00,27.92,27.92,200,0,90.0,877,90
8-6-4-13-2075430521,100097,283,223,78.80,100.00,21.20,21.20,200,0,84.0,463,84
7-4-3-22-122518356,100094,283,173,61.13,95.50,34.37,34.37,191,9,99.0,624,99
6-7-1-12-1008965486,100079,282,246,87.23,100.00,12.77,12.77,200,0,75.0,1020,75
8-4-6-14-1547653160,200053,282,124,43.97,98.50,54.53,54.53,197,3,72.0,247,72
1-5-3-16-404287114,100080,281,157,55.87,90.00,34.13,34.13,180,20,69.0,994,69
5-2-8-16-1828677404,100036,280,167,59.64,99.00,39.36,39.36,198,2,90.0,915,90
9-8-2-12-1889203652,100057,280,201,71.79,100.00,28.21,28.21,200,0,72.0,662,72
1-1-1-18-345800929,100069,279,101,36.20,98.50,62.30,62.30,197,3,114.0,1595,114
8-9-2-8-588452005,100020,279,227,81.36,100.00,18.64,18.64,200,0,66.0,401,66
4-2-1-11-1588347380,200007,279,138,49.46,100.00,50.54,50.54,200,0,57.0,249,57
8-8-3-11-1130495227,100081,278,182,65.47,99.00,33.53,33.53,198,2,72.0,1226,72
5-2-2-22-1813366620,100052,278,72,25.90,84.50,58.60,58.60,169,31,120.0,692,120
9-1-9-16-339028071,100050,278,190,68.35,99.50,31.15,31.15,199,1,78.0,1057,78
9-1-6-17-1309440635,100048,278,132,47.48,72.00,24.52,24.52,144,56,66.0,513,66
5-6-1-13-266320983,100075,277,208,75.09,97.50,22.41,22.41,195,5,84.0,5955,84
6-3-1-23-433081915,100064,277,105,37.91,95.00,57.09,57.09,190,10,126.0,3008,126
7-5-8-9-1088369873,100009,276,154,55.80,98.50,42.70,42.70,197,3,42.0,81,42
9-1-7-12-244330106,100072,276,192,69.57,99.00,29.43,29.43,198,2,63.0,459,63
5-3-6-15-2079086751,100046,276,221,80.07,100.00,19.93,19.93,200,0,57.0,161,57
7-3-4-11-466689271,100090,274,198,72.26,100.00,27.74,27.74,200,0,81.0,903,81
3-2-1-16-1970023401,100087,274,90,32.85,90.00,57.15,57.15,180,20,102.0,1493,102
6-1-3-11-597386158,200024,274,188,68.61,100.00,31.39,31.39,200,0,72.0,384,72
7-1-8-19-1954152014,100078,272,108,39.71,80.50,40.79,40.79,161,39,81.0,944,81
8-7-7-16-512933158,100051,272,68,25.00,80.00,55.00,55.00,160,40,105.0,1263,105
7-7-9-23-1326219331,100052,270,130,48.15,88.50,40.35,40.35,177,23,120.0,739,120
6-4-1-14-682927546,100033,267,230,86.14,100.00,13.86,13.86,200,0,60.0,253,60
7-7-4-12-1041323309,100043,267,198,74.16,99.00,24.84,24.84,198,2,78.0,657,78
7-7-2-19-55358740,100055,266,157,59.02,97.00,37.98,37.98,194,6,84.0,586,84
6-9-5-12-1006269145,100026,266,73,27.44,100.00,72.56,72.56,200,0,54.0,158,54
1-7-7-12-1529119272,200015,265,164,61.89,100.00,38.11,38.11,200,0,54.0,320,54
2-1-4-11-585352556,100037,265,192,72.45,97.00,24.55,24.55,194,6,66.0,482,66
8-6-6-21-1605650197,100089,264,106,40.15,94.00,53.85,53.85,188,12,114.0,1001,114
8-5-9-14-1645906227,100026,264,77,29.17,59.00,29.83,29.83,118,82,54.0,109,54
9-7-5-21-1359687721,100089,262,103,39.31,88.00,48.69,48.69,176,24,114.0,1212,114
7-9-5-17-660832730,100069,262,75,28.63,77.50,48.87,48.87,155,45,114.0,1649,114
3-2-2-20-70390619,500001,260,52,20.00,100.00,80.00,80.00,200,0,78.0,322,78
5-4-6-13-1137257498,200007,259,78,30.12,100.00,69.88,69.88,200,0,57.0,179,57
5-3-4-10-604501872,100090,259,56,21.62,91.50,69.88,69.88,183,17,81.0,1465,81
7-5-5-13-5344783,100063,259,162,62.55,96.50,33.95,33.95,193,7,99.0,1418,99
9-2-8-13-286371265,200013,258,196,75.97,100.00,24.03,24.03,200,0,63.0,304,63
2-9-2-13-1594964037,200012,257,77,29.96,95.50,65.54,65.54,191,9,54.0,166,54
2-5-4-13-1792123397,100007,255,181,70.98,99.50,28.52,28.52,199,1,69.0,470,69
9-9-4-12-1695467759,200004,255,102,40.00,70.50,30.50,30.50,141,59,48.0,114,48
5-6-7-8-228905975,100040,254,63,24.80,78.00,53.20,53.20,156,44,48.0,367,48
7-9-3-22-540648384,100061,253,66,26.09,89.00,62.91,62.91,178,22,102.0,927,102
6-7-1-14-2072272026,100026,253,100,39.53,99.50,59.97,59.97,199,1,54.0,225,54
7-7-3-21-1779029033,100065,253,68,26.88,61.50,34.62,34.62,123,77,108.0,1551,108
6-8-2-19-397344340,100065,252,106,42.06,69.00,26.94,26.94,138,62,108.0,1290,108
7-4-2-12-569695077,200015,251,145,57.77,99.50,41.73,41.73,199,1,54.0,238,54
2-4-2-9-1192431019,200015,250,125,50.00,100.00,50.00,50.00,200,0,54.0,446,54
8-7-1-8-1718529128,100056,249,196,78.71,100.00,21.29,21.29,200,0,54.0,635,54
8-5-8-15-1923213148,100094,247,95,38.46,80.00,41.54,41.54,160,40,99.0,770,99
7-9-4-19-1300428267,100034,247,127,51.42,93.00,41.58,41.58,186,14,72.0,186,72
6-4-3-14-1395426465,100087,246,115,46.75,98.00,51.25,51.25,196,4,102.0,5292,102
9-2-1-14-756796469,100004,244,65,26.64,100.00,73.36,73.36,200,0,60.0,699,60
3-8-8-11-1145552048,100008,243,147,60.49,100.00,39.51,39.51,200,0,42.0,105,42
3-7-2-21-1915561206,400013,242,99,40.91,68.50,27.59,27.59,137,63,108.0,3653,108
3-4-6-14-1516792911,100010,240,97,40.42,86.00,45.58,45.58,172,28,54.0,116,54
8-4-2-13-951865335,100066,240,62,25.83,77.00,51.17,51.17,154,46,93.0,2341,93
3-7-1-11-1812012027,200003,239,80,33.47,95.50,62.03,62.03,191,9,42.0,98,42
7-3-7-13-1506195626,200012,237,113,47.68,99.50,51.82,51.82,199,1,54.0,166,54
8-5-2-14-1177727510,100084,235,71,30.21,97.50,67.29,67.29,195,5,102.0,3644,102
9-5-2-8-991658304,100009,235,89,37.87,100.00,62.13,62.13,200,0,42.0,137,42
8-1-3-23-787723599,100061,232,8,3.45,25.00,21.55,21.55,50,150,102.0,660,102
5-5-2-13-844247032,200012,231,28,12.12,23.00,10.88,10.88,46,154,54.0,117,54
4-4-2-21-1124646819,100064,231,23,9.96,97.00,87.04,87.04,194,6,126.0,3474,126
3-4-2-16-616373767,100051,230,106,46.09,86.00,39.91,39.91,172,28,105.0,1883,105
6-3-2-24-63982069,100086,229,90,39.30,80.50,41.20,41.20,161,39,117.0,1781,117
7-3-8-23-431986938,100052,229,52,22.71,63.00,40.29,40.29,126,74,120.0,601,120
8-8-6-16-1527482259,100087,229,86,37.55,89.50,51.95,51.95,179,21,102.0,1164,102
8-8-4-13-340009907,100026,228,109,47.81,100.00,52.19,52.19,200,0,54.0,135,54
7-9-8-12-987952720,100040,227,64,28.19,78.50,50.31,50.31,157,43,48.0,286,48
8-9-6-15-430379269,100084,227,88,38.77,99.00,60.23,60.23,198,2,102.0,4610,102
9-7-6-21-2146967529,100064,226,24,10.62,34.50,23.88,23.88,69,131,126.0,1917,126
3-3-1-18-817115857,100051,224,62,27.68,94.00,66.32,66.32,188,12,105.0,1368,105
1-1-1-19-327322915,100069,224,19,8.48,75.00,66.52,66.52,150,50,114.0,1855,114
4-8-3-21-2061771756,100036,224,50,22.32,81.50,59.18,59.18,163,37,90.0,567,90
7-7-6-17-591821137,100096,220,79,35.91,95.50,59.59,59.59,191,9,96.0,1211,96
1-8-9-12-1068831745,200004,219,132,60.27,100.00,39.73,39.73,200,0,48.0,194,48
8-5-8-15-1431644990,100094,218,85,38.99,84.00,45.01,45.01,168,32,99.0,576,99
6-4-1-24-1969168229,100064,218,42,19.27,58.00,38.73,38.73,116,84,126.0,4482,126
5-3-7-12-1928426479,100026,217,39,17.97,99.00,81.03,81.03,198,2,54.0,199,54
4-5-9-12-1284444587,100010,217,46,21.20,92.00,70.80,70.80,184,16,54.0,214,54
6-5-9-10-342865299,200003,216,66,30.56,97.00,66.44,66.44,194,6,42.0,97,42
5-2-2-14-860898377,100076,216,145,67.13,100.00,32.87,32.87,200,0,90.0,807,90
8-3-3-13-1848521575,100034,216,92,42.59,100.00,57.41,57.41,200,0,72.0,233,72
7-1-8-19-1761735136,100078,215,122,56.74,93.00,36.26,36.26,186,14,81.0,1723,81
8-1-8-22-1488392561,100055,215,37,17.21,12.00,-5.21,5.21,24,176,84.0,720,84
9-2-8-21-2061219668,400013,211,132,62.56,97.50,34.94,34.94,195,5,108.0,6083,108
5-9-6-18-2118027551,100052,211,60,28.44,85.50,57.06,57.06,171,29,120.0,800,120
8-9-4-16-1398157102,100096,210,39,18.57,54.50,35.93,35.93,109,91,96.0,2270,96
3-7-1-11-1974276733,200003,210,138,65.71,99.50,33.79,33.79,199,1,42.0,97,42
